city,irrad_mean,irrad_std,temp_mean,temp_amplitude,rh_mean,prec_total,wind_mean,kt_mean,uf,region,biome,latitude,longitude,cluster
Belem,5.176656090884205,0.9314073003380098,27.223490281960032,4.419999999999998,84.21687106487818,7.391637010676157,0.7583931015603613,0.5211935395565289,PA,Norte,Amazonia,-1.4558,-48.5039,0
Belo Horizonte,5.101098165891049,1.4318257997774941,20.893115247741584,8.677999999999994,71.42644675609088,2.950709006296195,2.1991185327128386,0.5463865316178483,MG,Sudeste,Cerrado,-19.9167,-43.9345,3
Brasilia,5.61350698056392,1.2023479313268866,22.951738297289896,7.987999999999996,64.66085135505064,3.0345168354776897,2.019425130030112,0.5915110867779907,DF,Centro-Oeste,Cerrado,-15.7942,-47.8825,3
Curitiba,4.339535422940049,1.7911061234007761,18.236474130851356,12.52,81.68997262523952,4.37617848343827,0.9488420476320832,0.4817930468108404,PR,Sul,Mata Atlantica,-25.4284,-49.2733,1
Fortaleza,5.74850052012045,1.1874553527490874,27.400706268820148,2.0600000000000023,78.02045442102381,2.79510813030386,5.072324117163975,0.5781001916233234,CE,Nordeste,Caatinga,-3.7172,-38.5433,2
Goiania,5.561733534081577,1.1496101094962556,23.8161976457706,8.64,65.40438817410347,3.4278072816862855,1.955050643306871,0.5899096632904463,GO,Centro-Oeste,Cerrado,-16.6864,-49.2643,3
Manaus,4.689698467013414,1.187539483502408,27.479813851628798,6.510000000000002,82.28632904462087,5.2524281412537634,0.6620722693676431,0.4728250752805913,AM,Norte,Amazonia,-3.119,-60.0217,0
Porto Alegre,4.512392773063235,2.226974944449588,19.567092800437994,15.628,81.93091431699973,3.9941883383520396,2.3272597864768683,0.5097344648234328,RS,Sul,Pampa,-30.0346,-51.2177,1
Recife,6.0254411716397485,1.1271304863917577,26.356457705995073,3.990000000000002,76.91354229400493,3.6388748973446483,3.7039337530796606,0.6085381877908569,PE,Nordeste,Mata Atlantica,-8.0476,-34.877,2
Rio de Janeiro,4.675253791404325,1.6791611051123807,23.416055297016154,7.373999999999999,81.25860662469204,4.792956474130851,2.6543772241992882,0.5101067615658363,RJ,Sudeste,Mata Atlantica,-22.9068,-43.1729,1
Salvador,5.305049904188339,1.2668455064707744,26.110364084314263,4.77,75.64111415275116,2.5509225294278677,2.18772789488092,0.5415329865863674,BA,Nordeste,Mata Atlantica,-12.9714,-38.5014,3
Sao Paulo,4.555836545305229,1.6107192885370432,20.15207500684369,10.437999999999999,77.84035313441008,3.302874349849439,2.2982671776621952,0.501264713933753,SP,Sudeste,Mata Atlantica,-23.5505,-46.6333,1
