date,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,PS,ALLSKY_KT,city,uf,region,biome,latitude,longitude
2015-01-01,4.5074,6.9463,27.59,30.43,25.47,76.39,0.5,0.75,100.38,0.44,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-02,3.881,6.9564,26.3,28.4,24.66,80.56,0.41,0.71,100.47,0.38,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-03,5.255,6.9557,28.14,31.47,24.7,73.48,0.38,0.74,100.41,0.51,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-04,3.6226,6.9758,28.2,30.89,25.77,74.74,4.96,0.69,100.45,0.35,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-05,2.8634,7.0056,26.5,28.57,24.54,85.33,5.82,0.66,100.54,0.28,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-06,4.7143,7.0589,26.77,31.28,23.86,80.79,2.71,0.77,100.54,0.46,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-07,6.7603,7.121,27.71,32.42,23.7,76.09,2.33,0.81,100.34,0.65,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-08,4.5115,6.9811,28.06,32.04,24.51,76.6,9.68,0.82,100.26,0.44,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-09,2.8342,6.8174,26.23,27.55,25.3,88.14,12.25,0.71,100.41,0.27,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-10,1.9404,6.905,26.48,28.21,24.7,85.96,3.69,0.63,100.46,0.19,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-11,1.9639,6.9581,26.21,28.35,24.71,89.2,20.26,0.6,100.51,0.19,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-12,5.2397,6.8993,25.89,28.35,24.35,90.86,5.39,0.66,100.47,0.51,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-13,4.8715,6.8578,26.34,29.36,24.17,88.38,2.98,0.71,100.39,0.47,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-14,2.7874,6.9002,25.4,27.11,24.23,92.41,12.63,0.62,100.43,0.27,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-15,4.5218,6.3823,25.61,28.1,23.84,89.05,4.77,0.76,100.52,0.44,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-16,5.1758,6.7243,26.55,29.68,23.99,84.18,5.56,0.76,100.53,0.5,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-17,4.1657,6.7685,25.71,28.12,24.11,89.51,10.17,0.64,100.49,0.4,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-18,5.2426,6.9554,26.36,29.56,23.85,86.51,5.73,0.69,100.46,0.5,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-19,4.0428,7.0476,25.25,26.55,24.08,94.7,17.67,0.61,100.48,0.39,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-20,4.9702,6.4891,25.78,28.74,23.86,87.55,4.46,0.68,100.41,0.48,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-21,4.3315,6.2542,25.04,26.87,24.0,90.11,3.77,0.73,100.5,0.42,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-22,5.6417,6.9062,25.97,28.75,23.73,84.8,5.92,0.72,100.49,0.54,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-23,2.7578,7.025,25.85,28.41,24.03,88.56,7.26,0.55,100.47,0.26,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-24,3.0317,7.1424,25.17,27.67,23.6,90.9,8.59,0.66,100.49,0.29,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-25,4.9078,7.1018,25.52,28.4,23.41,90.29,5.95,0.65,100.44,0.47,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-26,5.1773,7.1722,25.74,28.48,24.09,89.99,5.39,0.88,100.39,0.49,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-27,5.6664,7.0303,26.41,29.75,23.74,84.37,0.67,0.87,100.4,0.54,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-28,5.3234,7.0445,26.59,29.37,24.15,86.3,5.48,0.67,100.31,0.51,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-29,4.4815,6.997,26.34,28.71,24.39,89.97,5.22,0.65,100.32,0.43,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-30,4.8206,7.0092,25.95,27.18,25.17,90.03,2.63,0.66,100.32,0.46,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-01-31,3.5249,6.9374,26.0,27.55,24.7,88.55,1.59,0.69,100.44,0.34,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-01,1.853,7.0728,25.49,27.31,24.01,89.66,9.43,0.54,100.56,0.18,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-02,3.8911,7.0241,24.83,26.3,23.46,90.24,5.93,0.58,100.63,0.37,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-03,6.0545,7.0591,26.05,29.78,22.74,84.58,0.43,0.74,100.53,0.57,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-04,4.4136,6.6269,26.41,28.87,24.56,88.68,2.15,0.67,100.36,0.42,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-05,5.6474,7.116,26.81,29.73,24.64,86.05,1.1,0.71,100.31,0.53,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-06,5.9203,7.0123,27.32,30.53,24.94,80.71,0.0,0.76,100.31,0.56,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-07,6.1567,7.1518,27.75,31.5,24.28,78.09,0.0,0.75,100.24,0.58,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-08,5.425,6.9348,26.82,29.89,25.14,83.86,2.13,0.84,100.33,0.51,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-09,4.6858,7.127,26.03,28.07,24.81,91.03,9.81,0.81,100.38,0.44,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-10,5.5411,6.9806,26.13,29.14,23.65,87.8,3.32,0.78,100.4,0.52,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-11,3.7802,7.1642,26.9,30.33,24.06,84.63,0.03,0.69,100.46,0.36,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-12,5.041,7.0927,26.77,29.24,24.98,85.31,2.02,0.76,100.55,0.48,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-13,6.3967,7.1242,27.15,30.36,24.73,84.78,1.07,0.79,100.53,0.6,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-14,5.3174,7.0162,27.63,30.81,24.77,83.0,0.01,0.81,100.44,0.5,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-15,5.3333,7.0435,27.99,31.38,25.04,82.49,1.04,0.69,100.34,0.5,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-16,5.3033,6.9574,27.24,30.92,24.8,82.65,1.52,0.81,100.34,0.5,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-17,2.5147,7.1354,26.42,30.0,24.33,84.74,6.54,0.78,100.35,0.24,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-18,3.1771,6.937,26.62,30.54,23.23,85.96,15.32,0.77,100.31,0.3,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-19,6.1776,6.9149,26.61,29.98,23.92,86.23,2.22,0.83,100.24,0.58,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-20,6.5599,7.1662,26.82,29.15,25.19,84.35,0.02,0.77,100.29,0.62,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-21,4.9555,7.0433,26.52,29.42,24.74,86.75,12.56,0.77,100.44,0.47,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-22,2.7274,7.1378,25.44,27.93,24.11,92.77,35.96,0.71,100.46,0.26,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-23,4.5859,7.2202,25.74,28.44,23.53,85.69,3.94,0.69,100.47,0.43,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-24,3.8726,7.0582,24.89,26.13,24.02,90.17,3.03,0.62,100.49,0.36,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-25,4.9162,7.147,26.15,29.57,23.54,87.64,2.33,0.69,100.43,0.46,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-26,4.3368,7.2994,26.14,28.4,24.68,90.88,6.3,0.72,100.41,0.41,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-27,5.3304,7.2281,25.9,28.75,23.89,89.89,0.68,0.75,100.42,0.5,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-02-28,6.1961,7.3027,25.75,27.64,23.66,88.59,5.05,0.63,100.47,0.58,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
2015-03-01,3.3254,7.013,26.4,29.52,24.13,87.73,10.75,0.65,100.47,0.31,Manaus,AM,Norte,Amazonia,-3.119,-60.0217
